dataset,delta_time,end_time,interval_id,speaker,start_time,video_fn,video_link
train,28.46666666666667,2019-09-26 00:00:59.333333254,cmu0000006370|mirror,lec_cosmic|mirror,2019-09-26 00:00:30.866666555,4bwMeTKC0M4,https://www.youtube.com/watch?v=4bwMeTKC0M4
train,111.16666666666666,2019-09-26 00:04:15.700000048,cmu0000006376|mirror,lec_cosmic|mirror,2019-09-26 00:02:24.533333301,4bwMeTKC0M4,https://www.youtube.com/watch?v=4bwMeTKC0M4
train,17.433333333333312,2019-09-26 00:04:33.200000048,cmu0000006377|mirror,lec_cosmic|mirror,2019-09-26 00:04:15.766666651,4bwMeTKC0M4,https://www.youtube.com/watch?v=4bwMeTKC0M4
train,5.899999999999999,2019-09-26 00:00:21.766666651,cmu0000006380|mirror,lec_cosmic|mirror,2019-09-26 00:00:15.866666555,8FtCg_bbdW0,https://www.youtube.com/watch?v=8FtCg_bbdW0
train,80.73333333333333,2019-09-26 00:01:49.033333302,cmu0000006381|mirror,lec_cosmic|mirror,2019-09-26 00:00:28.299999952,8FtCg_bbdW0,https://www.youtube.com/watch?v=8FtCg_bbdW0
train,32.3,2019-09-26 00:02:23.566666603,cmu0000006382|mirror,lec_cosmic|mirror,2019-09-26 00:01:51.266666650,8FtCg_bbdW0,https://www.youtube.com/watch?v=8FtCg_bbdW0
train,39.03333333333333,2019-09-26 00:03:03.700000048,cmu0000006383|mirror,lec_cosmic|mirror,2019-09-26 00:02:24.666666746,8FtCg_bbdW0,https://www.youtube.com/watch?v=8FtCg_bbdW0
train,19.0,2019-09-26 00:03:31.299999952,cmu0000006384|mirror,lec_cosmic|mirror,2019-09-26 00:03:12.299999952,8FtCg_bbdW0,https://www.youtube.com/watch?v=8FtCg_bbdW0
train,20.0,2019-09-26 00:03:57.733333349,cmu0000006385|mirror,lec_cosmic|mirror,2019-09-26 00:03:37.733333349,8FtCg_bbdW0,https://www.youtube.com/watch?v=8FtCg_bbdW0
train,45.36666666666667,2019-09-26 00:04:43.166666746,cmu0000006386|mirror,lec_cosmic|mirror,2019-09-26 00:03:57.799999952,8FtCg_bbdW0,https://www.youtube.com/watch?v=8FtCg_bbdW0
train,6.9,2019-09-26 00:00:22.799999952,cmu0000006389|mirror,lec_cosmic|mirror,2019-09-26 00:00:15.900000095,SwW1K7Dibc8,https://www.youtube.com/watch?v=SwW1K7Dibc8
train,25.3,2019-09-26 00:00:55,cmu0000006390|mirror,lec_cosmic|mirror,2019-09-26 00:00:29.700000048,SwW1K7Dibc8,https://www.youtube.com/watch?v=SwW1K7Dibc8
train,10.233333333333334,2019-09-26 00:01:25.099999905,cmu0000006392|mirror,lec_cosmic|mirror,2019-09-26 00:01:14.866666555,SwW1K7Dibc8,https://www.youtube.com/watch?v=SwW1K7Dibc8
